service,method,path,controller_class,method_name
customer-service,PUT,/customer/{customerRef}/addresses/{addressId}|/customer/addresses/{addressId}|/customers/{customerRef}/addresses/{addressId}|/customers/addresses/{addressId},CustomerAddressController,updateAddress
customer-service,PATCH,/customer/{customerRef}/addresses/{addressId}|/customer/addresses/{addressId}|/customers/{customerRef}/addresses/{addressId}|/customers/addresses/{addressId},CustomerAddressController,patchAddress
customer-service,DELETE,/customer/{customerRef}/addresses/{addressId}|/customer/addresses/{addressId}|/customers/{customerRef}/addresses/{addressId}|/customers/addresses/{addressId},CustomerAddressController,deleteAddress
customer-service,POST,/customers/{customerId}/preferences,CustomerPreferenceController,savePreferences
customer-service,GET,/customers/{customerId}/preferences,CustomerPreferenceController,getPreferences
customer-service,POST,/customer/{phone}/preferences,CustomerPreferenceController,savePreferencesByPhone
customer-service,GET,/customer/{phone}/preferences,CustomerPreferenceController,getPreferencesByPhone
customer-service,GET,/customers/{customerId}/profile-completion,CustomerProfileCompletionController,getCompletion
customer-service,POST,/customers/{customerId}/complete/basic,CustomerProfileCompletionController,markBasic
customer-service,POST,/customers/{customerId}/complete/address,CustomerProfileCompletionController,markAddress
customer-service,POST,/customers/{customerId}/complete/pet,CustomerProfileCompletionController,markPet
customer-service,POST,/customers/{customerId}/complete/preferences,CustomerProfileCompletionController,markPreferences
booking-service,POST,/bookings/create|/booking/create,BookingController,createBooking
booking-service,GET,/bookings/{bookingId}|/booking/{bookingId},BookingController,getBookingById
booking-service,GET,/bookings/{bookingId}/history|/booking/{bookingId}/history,BookingController,getBookingHistory
booking-service,PUT,/bookings/{bookingId}/status|/booking/{bookingId}/status,BookingController,updateBookingStatus
booking-service,POST,/bookings/{bookingId}/cancel|/booking/{bookingId}/cancel,BookingController,cancelBooking
booking-service,POST,/bookings/{bookingId}/reschedule|/booking/{bookingId}/reschedule,BookingController,rescheduleBooking
booking-service,POST,/bookings/customer/bookings/refund-preview|/booking/customer/bookings/refund-preview,BookingController,previewRefund
booking-service,POST,/bookings/{bookingId}/calculate-refund|/booking/{bookingId}/calculate-refund,BookingController,calculateRefund
booking-service,POST,/bookings/{bookingId}/cancel-with-refund|/booking/{bookingId}/cancel-with-refund,BookingController,cancelWithRefund
booking-service,POST,/customer/booking/create|/customer/bookings/create,CustomerBookingController,createBooking
booking-service,GET,/customer/bookings/{bookingId},CustomerBookingController,getBookingById
booking-service,GET,/customer/{customerId}/bookings,CustomerBookingController,getBookingsByCustomer
booking-service,GET,/customer/{customerId}/pets/{petId}/bookings,CustomerBookingController,getBookingsByPet
booking-service,GET,/customer/{customerId}/bookings/{bookingId},CustomerBookingController,getBookingByIdForCustomer
booking-service,GET,/customer/{customerId}/bookings/follow-up-eligible,CustomerBookingController,getFollowUpEligibleBookings
booking-service,GET,/vendor/bookings/{vendorId},VendorBookingController,getBookingsByVendor
booking-service,GET,/vendor/{vendorId}/bookings,VendorBookingController,getBookingsByVendorAlias
booking-service,GET,/vendor/{vendorId}/bookings/today,VendorBookingController,getTodayBookings
booking-service,GET,/vendor/bookings/{bookingId}/details,VendorBookingController,getBookingDetails
booking-service,PUT,/vendor/bookings/{bookingId}/status,VendorBookingController,updateStatus
booking-service,POST,/vendor/bookings/{bookingId}/confirm,VendorBookingController,confirm
booking-service,POST,/vendor/bookings/{bookingId}/accept,VendorBookingController,accept
booking-service,POST,/vendor/bookings/{bookingId}/reject,VendorBookingController,reject
booking-service,POST,/vendor/bookings/{bookingId}/cancel,VendorBookingController,cancel
booking-service,POST,/vendor/bookings/{bookingId}/decline,VendorBookingController,decline
booking-service,POST,/bookings/generate-otp,BookingOtpController,generateOtp
booking-service,POST,/bookings/verify-otp,BookingOtpController,verifyOtp
booking-service,GET,/bookings/available-slots,BookingSlotController,getSlots
booking-service,GET,/vendor/available-slots,BookingSlotController,getVendorSlots
booking-service,POST,/followup/create,FollowUpController,createFollowUp
booking-service,GET,/vendor/reschedule-policy,FollowUpController,getReschedulePolicy
