vendor_id,business_name,tier
"a9bf1007-cf4c-4050-b926-f2c47e1b657f","K9 gurukul ","Bronze"
"75eeb757-a719-4b5f-9b81-6d8fbd69cec3","K9 Gurukul","Bronze"
"06d6fab0-9120-4332-8c22-e000416323c7","K9 Paws","Bronze"
"9a9f9e6e-7bc0-4ce9-8988-db21aae72485","K9 Paws Puneeth Trainer ","Bronze"
"32d7813a-9bbf-4e67-a41d-b1e289844eaa","K9 Paws Training centre ","Bronze"
"89b81ee5-54aa-449a-8a1f-fef1718535b7","Keshav Veterinary Solo Service","Basic"
"d34fce15-9e0c-4c05-bdad-fafb991773bd","Ketan's Vet Test","Bronze"
"5abf4955-29af-4753-a3fe-cc46a2506859","Kumar Walking Service","Bronze"
"1bab00e8-c89d-41e2-a622-7551ffb6ff8d","Maruti Training center ","Bronze"
"9f637333-a5f2-422c-b1be-908a7570ae0a","Naveen K9 Gurukul","Bronze"
"a2a1ef18-2faf-4073-9494-7e79cbcaf1e4","Not applicable","Bronze"
"a77fed86-50ef-4ac3-a8cf-112ece4f9ed2","Odin pet palace","Basic"
"7a23184a-1adb-4afe-b590-ba4eed27d800","Oh My Dawg clinic ","Bronze"
"7c826be1-70b9-465e-8156-c258bfb3a6f7","Paws in the city ","Bronze"
"bd489856-97bb-436f-9e1f-cb8b86460d29","Paws in the city ","Bronze"
"c630354a-529d-49f4-a975-776e481c3aa1","Paws in the city ","Bronze"
"216246dc-4f30-4e72-9c47-23b61197f5e6","Paws In The City","Bronze"
"4374724f-ab5b-41a7-91f8-016f8908cdac","Pawsome petz ","Basic"
"3f6952f7-f52c-4de7-a32d-ac6e66201623","Paws & Us","Basic"
"426fb107-76cc-4b64-931a-ed2d924628e0","Paws Valley Pet Hospital, Hennur","Basic"
"aa204e1c-fcf2-4cbc-8a99-3d0109a31182","PAWS VALLEY PET HOSPITAL PVT LTD","Basic"
"833512c0-451b-4d92-bb9f-85c3b115e915","pet","Basic"
"864a4819-f4b5-4d68-80bc-2c9154efa508","Pet Element","Bronze"
"e19470c9-cc47-44bc-910b-ebb68d0a88ef","Pet sitter ","Basic"
"db391890-eeb6-4e3f-bac8-a0c8f26b7672","Pet Sitting TEST","Basic"
"be19ead8-10b0-45c7-a019-a47aee1160f9","Pet society","Basic"
"9c0855b7-e397-4e1a-9508-5ec2016ff00b","Pranay Vet Solo","Bronze"
"89a05cd5-c1a5-48ae-ba31-7b8255f8b3eb","Prashanth training service ","Basic"
"9d6358be-aeaf-49a8-b19e-9987e934fa5a","Praveen","Basic"
"4aab5faa-f490-49f2-83db-3aac71b3a28a","Praveen Beheverist solo ","Basic"
"13d4f024-7567-46af-8a74-6b36a102ab33","Praveen Boarding","Basic"
"2efa0674-cd49-4a67-abcb-2c0a31b2facd","Praveen center","Basic"
"98a26afd-85c2-41f4-84fd-9533e33d9117","Praveen Clinc","Basic"
"be23c4df-0897-443d-940e-adf8030cfe07","Praveen Diagonostic seri ice ","Basic"
"cf0e46ef-ec4b-4b7e-b70f-4b68a5583de9","Praveen groomer center","Basic"
"0dd79d89-ab00-4ccb-b8f1-5b27a095e7ad","Praveen groomer solo ","Basic"
"1c806803-756a-4197-89f0-432280c91095","Praveen groomer solo ","Basic"
"d68d0176-145a-4424-8346-98639d9a3562","Praveen Grooming Center","Basic"
"4fa9039c-e6f1-4737-8ff3-891ce8e62a12","Praveen Grooming services","Basic"
"1e24896a-6b5b-4136-a9be-2d75b6f8eda7","Praveen pet nutrition","Basic"
"54d6e1fd-4a82-49f1-93a3-5a51fcd912cd","Praveen pet nutrition solo ","Basic"
"e628ddf8-6df9-4d4a-83f4-d1120173ca4b","Praveen sitter ","Basic"
"25f0b006-c064-4e8a-b9a8-cba9753d0a0d","Praveen soli","Basic"
"dc7590d8-c48e-45d8-bd71-accf6c02e67b","Praveen solo ","Basic"
"1b20d8bb-370b-4a4d-9bae-58375d5c5497","Praveen vet clinic","Basic"
"7281e035-e79c-4fad-94cb-fcb6e51e8957","Praveen vet solo ","Basic"
"b2045a90-2578-436d-81fc-031a3bda7788","Praveen vet solo ","Basic"
"13b45d51-e7a8-4423-a235-845360bb6054","Praveen walker ","Basic"
"8a9db630-d996-42c4-8054-83bac9a3d25c","Praveen Walking service","Basic"
"a40d0c0c-e11b-4050-889e-b1810edf16f7","Prosperous Clinic_test","Bronze"
"57718169-4295-4ac0-a10a-296a1e4c08c0","Pup&kitty'shub","Basic"
"7e61c89c-63cc-463a-b60f-39a2e43804c6","Purry Tales Pet Boarding","Basic"
"2a94324b-c6a7-40e5-93d7-4ddfc1ec3403","raaama","Bronze"
"7a1430f2-1196-4a3f-be41-1fdfa4019489","Ram Prakash ","Bronze"
"40f7aaa9-ed11-4557-b910-9cc3d1a970ce","Redrush kennels","Bronze"
"ad1b7f84-1ed4-4c96-a0a4-40d14fc1c1f6","Sanchari Mukherjee","Basic"
"b4af1b0b-e2b4-4eaa-8ff6-4b21427af820","SANHYA_TIWARI_TEST","Basic"
"b781c10d-168b-48f9-b46d-71a8d342b36d","SARA PETS ","Bronze"
"4b395ec2-313f-43a3-bead-0bb80b3e9a0c","Shivang Grooming center ","Bronze"
"b86b65bd-c99d-4be9-9fb8-4c5415a12ea6","Shivang_VET_CENTER","Bronze"
"8365e87b-3eae-4e9b-9a36-46459b529502","Shivang Vet solo ","Bronze"
"c417e259-a4db-4d5f-9a2f-9a4dc0daa524","shreesha center","Basic"
"460e99a6-886e-436a-a056-9f93ee008b4a","shreesha grooming solo","Basic"
"aeb8e7b9-39cd-430d-9d41-3858555bea27","Shreesha Newest Vet Clinic","Bronze"
"09874154-03d3-42ad-9704-d95bb35ea534","Shreesha's Insurance Company","Basic"
"be5ddb3d-bfac-4806-8df7-3e9c20b67c80","Shreesha's new vet clinic ","Basic"
"4c9feda8-6d19-4142-9fd8-83a3d30ef56d","shreesha training ","Basic"
"885f0022-78c3-4f52-ba42-b43ae5e5f39a","Shreesha Vet Center","Basic"
"2a3f4458-2248-4345-9644-fd49d41e4c42","shreesha vet solo","Basic"
"9b317726-35ff-4c8e-8440-686f73af4002","shresha groming center","Basic"
"bad95cf9-67bf-472e-a73b-3899b95b4254","Solo","Basic"
"fcb1951a-c245-4d91-9db9-a96d59b68ca3","S Training center","Bronze"
"8118619a-5ac2-43ec-8056-a3c480a5ed8f","Taruna Infosoft","Bronze"
"ebae9cbe-7ef5-47fe-b6f9-02cbfc81aee1","Taruna Infosoft","Bronze"
"17552055-d039-45ef-82cd-3bbe82eaca7b","Taruna Infosof_TEST","Basic"
"ba38400b-62e5-41a6-98cf-4536936d8cf5","Taruna Infosoft_test","Bronze"
"606d7ed4-1789-4666-9b7b-1bbe744c3530","Taruna InfosoftTest","Bronze"
"f8ad651b-fdfe-42f5-9f6b-31ac75a95bf8","Taruna Infosoft_TEST","Basic"
"fa13b686-e985-4b7e-977b-bf7ac69d89b6","Taruna Infosoft_TEST","Bronze"
"0c98641a-5d6f-41bf-a4b7-5ee34d23d838","Taruna Infosoft_test_afaib","Bronze"
"009e5a62-8705-49bb-97e9-a8eab1607035","TESTER_PET SITTER","Basic"
"862d1ecd-5161-41a9-9f16-ebdcc563ff50","TEST GROOMER PRAVEEN","Basic"
"5230c23e-1ee8-4713-ab48-64473d57ec96","TEST_PHARMACY","Basic"
"268da805-b9a4-4bfa-8ccc-f93e9320dd4b","TEST_TEST","Bronze"
"763f5df9-a68d-4c15-90af-7d5ef802b005","TEST_TEST","Bronze"
"d5f4214e-ec95-476d-ae6d-2d12b053a7af","TEST_TEST","Bronze"
"48bff3a9-063d-42dd-906c-d320b96d0f31","TEST_TEST_TEST","Bronze"
"588b26c3-653c-424d-8f11-84a7d2be9368","TEST_VEDOR_3","Basic"
"8d3eccc3-f8b2-4971-9748-e7f8533be0b1","TEST_VENDOR_1","Basic"
"0c4b10d3-f79c-404c-bd05-00bb603277ad","TEST_VENDOR_2","Basic"
"8a6d7edc-740c-42d6-ab39-d29df970abd5","TEST_VENDOR_4","Basic"
"2e8bae60-83e6-4774-bea1-2900b9abba35","TETS_VENDOR_5","Basic"
"15e28777-492c-4ce2-b8cf-4ba851e135f6","Trainee","Basic"
"3389c1ab-33f8-4fc4-a57a-6abb823595bf","vendore onbordin","Basic"
"4810116b-272a-48d6-8f15-5546065115b8","VET CENTER BINDU","Basic"
"7534f72e-6deb-4789-ae05-3515114c5dff","vet clinic","Basic"
"54859db8-6ada-4631-a09a-7d7784c3e8b4","VET SOLO TESTING BINDUSHREE","Basic"
"ffd2bc86-e32a-4472-b4eb-ed39cc6dc4d7","VET SOLO TEST PROD","Basic"
"9af01808-90af-472e-b44f-303d25d3e5fb","VET TESTING SOLO","Basic"
"45c3eddd-71c5-438c-a59d-ee23726a9ae0","V.O.I.C.E PET HOSPITAL","Basic"
"da25dfc1-c476-44b5-9222-c131a3ca9188","Walker ","Basic"
"a2d60c17-971c-4b6f-8a93-8c247c0563b1","Whisker Wise","Bronze"
"09e5de47-f16e-410c-bb7b-1450d3addf57","Yogesh Grooming center ","Bronze"
